id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
1,2024-08-01 00:00,40.816,-73.902,6.9,16.3,,0.028,
32,2024-08-01 00:00,40.71961,-73.94771,16.1,,,,
112,2024-08-01 00:00,40.7997,-73.93432,13.5,,,,
128,2024-08-01 00:00,40.73614,-73.82153,10.5,20.1,-0.4,0.018,0.413
160,2024-08-01 00:00,40.73,-73.984,14.6,,,,
209,2024-08-01 00:00,40.725413,-74.052293,13.0,,,,
265,2024-08-01 00:00,40.739264,-73.817694,7.4,22.1,,,0.819
2440,2024-08-01 00:00,40.64144,-74.208365,13.1,26.9,0.0,,0.4
4629,2024-08-01 00:00,40.85355,-73.96618,6.2,26.3,,,0.4
6837,2024-08-01 00:00,40.770908,-74.036218,10.5,,,,
11222,2024-08-01 00:00,40.81551,-73.88553,7.4,,,,
13430,2024-08-01 00:00,40.64182,-74.01871,7.6,,,,
15638,2024-08-01 00:00,40.69454,-73.92769,9.3,,,,
210,2024-08-01 01:00,40.725413,-74.052293,10.6,,,,
2441,2024-08-01 01:00,40.64144,-74.208365,6.9,28.2,0.0,,0.5
4630,2024-08-01 01:00,40.85355,-73.96618,9.3,29.1,,,0.3
6838,2024-08-01 01:00,40.770908,-74.036218,8.5,,,,
9045,2024-08-01 01:00,40.816,-73.902,7.4,19.5,,0.022,
11223,2024-08-01 01:00,40.81551,-73.88553,7.7,,,,
13431,2024-08-01 01:00,40.64182,-74.01871,7.6,,,,
15639,2024-08-01 01:00,40.69454,-73.92769,9.7,,,,
17846,2024-08-01 01:00,40.73614,-73.82153,11.0,22.5,-0.2,0.012,0.426
20022,2024-08-01 01:00,40.739264,-73.817694,7.6,25.7,,,0.444
211,2024-08-01 02:00,40.725413,-74.052293,12.8,,,,
2442,2024-08-01 02:00,40.64144,-74.208365,8.2,25.4,0.0,,0.5
4631,2024-08-01 02:00,40.85355,-73.96618,11.2,33.4,,,0.4
6839,2024-08-01 02:00,40.770908,-74.036218,9.3,,,,
9046,2024-08-01 02:00,40.816,-73.902,7.1,15.1,,0.025,
11224,2024-08-01 02:00,40.81551,-73.88553,7.6,,,,
13432,2024-08-01 02:00,40.64182,-74.01871,8.5,,,,
15640,2024-08-01 02:00,40.69454,-73.92769,8.7,,,,
17847,2024-08-01 02:00,40.73614,-73.82153,13.3,38.7,-0.3,0.003,0.478
20023,2024-08-01 02:00,40.739264,-73.817694,9.2,38.9,,,0.425
212,2024-08-01 03:00,40.725413,-74.052293,8.1,,,,
2443,2024-08-01 03:00,40.64144,-74.208365,11.7,25.3,0.0,,0.4
4632,2024-08-01 03:00,40.85355,-73.96618,10.0,36.9,,,0.3
6840,2024-08-01 03:00,40.770908,-74.036218,8.6,,,,
9047,2024-08-01 03:00,40.816,-73.902,6.8,11.2,,0.028,
11225,2024-08-01 03:00,40.81551,-73.88553,7.5,,,,
13433,2024-08-01 03:00,40.64182,-74.01871,9.2,,,,
15641,2024-08-01 03:00,40.69454,-73.92769,9.0,,,,
17848,2024-08-01 03:00,40.73614,-73.82153,12.7,38.7,0.3,0.002,0.504
20024,2024-08-01 03:00,40.739264,-73.817694,9.0,40.0,,,0.526
213,2024-08-01 04:00,40.725413,-74.052293,12.3,,,,
2444,2024-08-01 04:00,40.64144,-74.208365,6.3,30.2,0.0,,
4633,2024-08-01 04:00,40.85355,-73.96618,8.9,34.5,,,0.4
6841,2024-08-01 04:00,40.770908,-74.036218,10.6,,,,
9048,2024-08-01 04:00,40.816,-73.902,7.2,11.9,,0.026,
11226,2024-08-01 04:00,40.81551,-73.88553,8.1,,,,
13434,2024-08-01 04:00,40.64182,-74.01871,10.1,,,,
15642,2024-08-01 04:00,40.69454,-73.92769,9.6,,,,
17849,2024-08-01 04:00,40.73614,-73.82153,12.4,36.4,0.1,0.001,0.466
20025,2024-08-01 04:00,40.739264,-73.817694,8.9,37.8,,,0.662
214,2024-08-01 05:00,40.725413,-74.052293,14.6,,,,
2445,2024-08-01 05:00,40.64144,-74.208365,10.7,31.5,0.0,,0.6
4634,2024-08-01 05:00,40.85355,-73.96618,8.7,23.0,,,0.4
6842,2024-08-01 05:00,40.770908,-74.036218,11.1,,,,
9049,2024-08-01 05:00,40.816,-73.902,7.6,19.2,,0.02,
